date	daytype	seconds	miles	tips	total	payment_type	speed
2019-07-20	weekend	1362	5.5	0	19.5	Cash	14.537445
2019-02-14	weekday	660	1.5	2	10.25	Credit	8.1818182
2019-07-20	weekend	1134	5.86	0	18	Cash	18.603175
2019-07-06	weekend	1020	4	3.2	18.7	Credit	14.117647
2019-06-07	weekend	587	1.46	2	10.25	Credit	8.9540034
2019-10-13	weekday	1080	3.7	0	13.5	Credit	12.333333
2019-01-08	weekday	1041	1.9	2	13	Credit	6.5706052
2019-01-15	weekday	1500	17.4	9.5	57	Credit	41.760000
2019-04-20	weekend	826	3.45	0	15.75	Cash	15.036320
2019-09-18	weekday	2328	16	9.8	58.8	Credit	24.742268
2019-02-05	weekday	660	1.8	0	8.25	Credit	9.8181818
2019-08-29	weekday	214	0.56	0	4.75	Cash	9.4205607
2019-06-03	weekday	2760	18.9	3.25	50.5	Credit	24.652174
2019-09-28	weekend	780	5.93	0	22	Cash	27.369231
2019-10-11	weekend	960	1.7	0	9.75	Cash	6.3750000
2019-06-22	weekend	480	2.4	1	11.25	Credit	18
2019-04-08	weekday	357	1.16	0	6.5	Cash	11.697479
2019-01-18	weekend	232	0.6	2	7.5	Credit	9.3103448
2019-03-12	weekday	900	0.1	5	18	Credit	0.40000000
2019-09-22	weekday	119	0.12	0	3.75	Cash	3.6302521
2019-11-07	weekday	890	2.05	2	14.25	Credit	8.2921348
2019-03-05	weekday	625	1.03	0	7.25	Cash	5.9328000
2019-05-21	weekday	720	1.9	2	11.5	Credit	9.5000000
2019-07-21	weekday	498	0.77	0	6.75	Cash	5.5662651
2019-04-05	weekend	578	1.91	0	8.5	Cash	11.896194
2019-06-03	weekday	2220	17.7	11.15	55.4	Credit	28.702703
2019-07-24	weekday	480	1.1	0	6.75	Cash	8.2500000
2019-10-22	weekday	480	1.4	1.4	8.65	Credit	10.500000
2019-11-18	weekday	180	0.16	0	9	Cash	3.2000000
2019-06-11	weekday	306	0.57	1.5	7.25	Credit	6.7058824
2019-05-02	weekday	420	1	4	10	Credit	8.5714286
2019-03-01	weekend	295	0.71	4	9.75	Credit	8.6644068
2019-04-15	weekday	1472	12.19	0	31.75	Cash	29.812500
2019-06-01	weekend	269	0.9	0	5.75	Cash	12.044610
2019-04-18	weekday	409	1.67	1	9	Credit	14.699267
2019-06-21	weekend	647	1.9	2	12.25	Credit	10.571870
2019-03-06	weekday	2280	18.4	5	53	Credit	29.052632
2019-12-12	weekday	375	0.9	0	7.5	Cash	8.6400000
2019-07-12	weekend	3452	33.12	0	80.75	Cash	34.539977
2019-02-13	weekday	660	1.1	2	10.5	Credit	6.0000000
2019-05-25	weekend	601	2.96	0	11.25	Cash	17.730449
2019-09-15	weekday	1140	6.7	4.4	25.9	Credit	21.157895
2019-10-09	weekday	482	1.28	0	7	Cash	9.5601660
2019-08-12	weekday	1706	16.87	0	67.25	Cash	35.599062
2019-05-14	weekday	360	2.4	0	9	Cash	24.000000
2019-12-20	weekend	660	1.6	1.2	9.2	Credit	8.7272727
2019-11-18	weekday	386	0.4	0	5.25	Cash	3.7305699
2019-05-18	weekend	387	0.7	0	5.75	Cash	6.5116279
2019-10-24	weekday	480	1.7	0	7.75	Cash	12.750000
2019-07-06	weekend	721	1.94	0	10.75	Cash	9.6865465
2019-11-05	weekday	3660	17.6	12.35	61.35	Credit	17.311475
2019-06-20	weekday	1020	7.6	4.5	26.5	Credit	26.823529
2019-05-26	weekday	420	1.1	2	8	Credit	9.4285714
2019-02-23	weekend	600	1.8	0	10	Cash	10.800000
2019-12-11	weekday	300	0.9	2	8.75	Credit	10.800000
2019-03-08	weekend	1572	5.4	0	18	Cash	12.366412
2019-04-01	weekday	248	0.64	1	6.5	Credit	9.2903226
2019-07-18	weekday	820	1	2	10.75	Credit	4.3902439
2019-02-20	weekday	455	0.9	0	6	Cash	7.1208791
2019-01-23	weekday	1608	19.25	5	56.5	Credit	43.097015
2019-10-24	weekday	420	1.5	2	9.5	Credit	12.857143
2019-02-21	weekday	360	0.6	0	6.5	Cash	6.0000000
2019-06-24	weekday	399	0.77	0	6	Cash	6.9473684
2019-03-15	weekend	540	1.6	1	8.75	Credit	10.666667
2019-07-18	weekday	374	0.56	2	8.75	Credit	5.3903743
2019-01-10	weekday	1080	1.31	4	14.25	Credit	4.3666667
2019-02-23	weekend	480	0.1	1	10.75	Credit	0.75000000
2019-12-10	weekday	329	0.74	2	8	Credit	8.0972644
2019-03-06	weekday	1223	2.22	3	15.5	Credit	6.5347506
2019-02-08	weekend	387	0.7	1	7.5	Credit	6.5116279
2019-03-14	weekday	418	0.97	0	6.25	Cash	8.3540670
2019-05-17	weekend	702	0.69	0	7.25	Cash	3.5384615
2019-04-24	weekday	361	0.76	0	5.5	Cash	7.5789474
2019-12-02	weekday	70	0.05	0	3.25	Cash	2.5714286
2019-12-02	weekday	682	1.36	3	13.5	Credit	7.1788856
2019-05-09	weekday	558	1.1	0	7.25	Cash	7.0967742
2019-09-18	weekday	290	0.53	2	7.5	Credit	6.5793103
2019-12-15	weekday	590	2.59	3	15.25	Credit	15.803390
2019-05-05	weekday	2580	8.8	9	56	Credit	12.279070
2019-06-06	weekday	621	0.8	2	9.5	Credit	4.6376812
2019-03-29	weekend	661	2.5	0	9.75	Cash	13.615734
2019-04-01	weekday	876	1.3	2	11.25	Credit	5.3424658
2019-11-28	weekday	88	0.07	0	3.75	Cash	2.8636364
2019-06-20	weekday	1311	1.94	0	12	Cash	5.3272311
2019-04-15	weekday	480	1.3	0	7.25	Cash	9.7500000
2019-10-28	weekday	600	0.9	0	8.75	Cash	5.4000000
2019-03-19	weekday	1702	15.11	0	38	Cash	31.960047
2019-10-12	weekend	1080	3.8	0	15.5	Cash	12.666667
2019-07-27	weekend	1364	7.04	3.19	24.44	Credit	18.580645
2019-08-22	weekday	2700	11.5	8.25	40.75	Credit	15.333333
2019-05-24	weekend	420	1	3	10	Credit	8.5714286
2019-07-31	weekday	2030	9.09	0	27.25	Cash	16.120197
2019-05-12	weekday	1845	16	0	44.5	Cash	31.219512
2019-04-12	weekend	3553	18.31	9.45	56.7	Credit	18.552209
2019-09-05	weekday	1705	13.2	9.62	48.12	Credit	27.870968
2019-04-10	weekday	733	1.73	0	8.75	Cash	8.4965894
2019-10-04	weekend	2390	17.49	0	49.75	Cash	26.344770
2019-08-27	weekday	660	1.6	0	8.25	Cash	8.7272727
2019-06-28	weekend	2248	14.22	0	42	Cash	22.772242
2019-06-23	weekday	670	1.3	2	12.25	Credit	6.9850746
2019-10-31	weekday	780	6.2	0	19	Cash	28.615385
2019-10-04	weekend	1973	16.1	0	48.25	Cash	29.376584
2019-12-11	weekday	683	5.05	3.35	20.1	Credit	26.617862
2019-06-13	weekday	480	1.58	1	9.25	Credit	11.850000
2019-08-14	weekday	729	2.35	0	11	Cash	11.604938
2019-11-16	weekend	600	2.7	2.1	12.35	Credit	16.200000
2019-01-04	weekend	240	0.6	0	5.25	Cash	9
2019-01-21	weekday	733	2.51	0	11.75	Cash	12.327422
2019-09-16	weekday	1680	1.1	9.3	55.55	Credit	2.3571429
2019-12-18	weekday	213	0.53	2	7.25	Credit	8.9577465
2019-09-15	weekday	600	1.5	0	9.25	Cash	9
2019-09-25	weekday	830	2.52	0	10.75	Cash	10.930120
2019-12-04	weekday	620	7.44	0	20.5	Cash	43.200000
2019-09-18	weekday	482	1.8	0	8	Cash	13.443983
2019-01-02	weekday	670	2.4	0	11	Cash	12.895522
2019-06-26	weekday	552	1.45	2	10.25	Credit	9.4565217
2019-07-12	weekend	1073	8.51	5.55	33.3	Credit	28.551724
2019-01-27	weekday	1149	3.54	0	14	Cash	11.091384
2019-06-18	weekday	900	3	2.5	15	Credit	12
2019-07-15	weekday	240	0.9	1	6.75	Credit	13.500000
2019-07-20	weekend	540	2	2	10.5	Credit	13.333333
2019-06-09	weekday	660	1.6	1	10.25	Credit	8.7272727
2019-11-20	weekday	420	1.5	2	11	Credit	12.857143
2019-04-22	weekday	587	1.18	2	10	Credit	7.2367973
2019-12-09	weekday	2276	18.39	0	52.25	Cash	29.087873
2019-02-28	weekday	716	3.36	1.88	14.38	Credit	16.893855
2019-10-26	weekend	2356	13.37	5	41	Credit	20.429542
2019-05-17	weekend	300	0.7	1	6.25	Credit	8.4000000
2019-03-21	weekday	540	0.9	0	6.75	Cash	6
2019-10-02	weekday	420	0.1	2.5	11.5	Credit	0.85714286
2019-03-10	weekday	537	1.94	2	10.5	Credit	13.005587
2019-07-18	weekday	546	1.65	2	11.75	Credit	10.879121
2019-11-16	weekend	455	0.67	0	6.25	Cash	5.3010989
2019-02-24	weekday	2026	15.3	0	39.5	Cash	27.186575
2019-07-12	weekend	285	0.39	0	6.25	Cash	4.9263158
2019-12-02	weekday	280	0.71	0	5.5	Cash	9.1285714
2019-11-13	weekday	1388	3.79	0	13.5	Cash	9.8299712
2019-12-03	weekday	532	2.4	2	13.75	Credit	16.240602
2019-03-08	weekend	720	0.1	2	11.75	Credit	0.50000000
2019-03-03	weekday	805	3.63	0	13.25	Cash	16.233540
2019-06-19	weekday	3838	20.09	0	56.75	Cash	18.844190
2019-12-22	weekday	460	1.08	0	7	Cash	8.4521739
2019-09-29	weekday	240	0.4	2	9	Credit	6
2019-11-20	weekday	405	0.91	0	6.25	Cash	8.0888889
2019-09-27	weekend	720	1.6	1.31	10.06	Credit	8
2019-12-04	weekday	1198	17.42	0	47.5	Cash	52.347245
2019-09-16	weekday	480	1	0	7	Cash	7.5000000
2019-08-05	weekday	1380	5.5	4.75	23.75	Credit	14.347826
2019-03-25	weekday	399	0.77	0	6	Cash	6.9473684
2019-12-03	weekday	420	2.1	0	8.5	Cash	18
2019-06-12	weekday	393	1.4	3	10.5	Credit	12.824427
2019-05-02	weekday	1020	5.4	0	16.25	Cash	19.058824
2019-01-16	weekday	1358	14.85	12.35	74.1	Credit	39.366716
2019-05-24	weekend	2265	24.22	5	68	Credit	38.495364
2019-01-21	weekday	334	1.04	0	7.5	Cash	11.209581
2019-06-12	weekday	171	0.33	0	4	Cash	6.9473684
2019-09-04	weekday	600	3.6	1	13	Credit	21.600000
2019-01-07	weekday	480	1.4	0	7	Cash	10.500000
2019-12-04	weekday	420	1	2	8.25	Credit	8.5714286
2019-09-26	weekday	142	0.55	3	8	Credit	13.943662
2019-09-10	weekday	528	1.16	0	7.25	Cash	7.9090909
2019-10-31	weekday	457	1.44	0	7.5	Cash	11.343545
2019-05-24	weekend	379	0.8	0	5.75	Cash	7.5989446
2019-06-26	weekday	955	2.84	2.6	15.6	Credit	10.705759
2019-10-25	weekend	487	0.94	2	9.25	Credit	6.9486653
2019-03-30	weekend	420	1.7	3	10.75	Credit	14.571429
2019-11-27	weekday	720	1.7	0	8.5	Cash	8.5000000
2019-09-28	weekend	2040	12.4	0	36.5	Cash	21.882353
2019-11-16	weekend	600	0.1	0	9.25	Cash	0.60000000
2019-04-22	weekday	566	2.58	3	13.25	Credit	16.409894
2019-11-08	weekend	480	1.7	3	11	Credit	12.750000
2019-03-23	weekend	1405	17.71	11.06	55.31	Credit	45.377936
2019-06-17	weekday	798	1.82	0	9	Cash	8.2105263
2019-04-16	weekday	2497	13.3	9.44	47.19	Credit	19.175010
2019-08-02	weekend	253	0.82	2	10.25	Credit	11.667984
2019-07-28	weekday	233	0.6	0	4.5	Cash	9.2703863
2019-08-14	weekday	477	1.51	0	7.5	Cash	11.396226
2019-02-28	weekday	3790	18.4	12	60	Credit	17.477573
2019-11-17	weekday	1380	12.6	5	41.25	Credit	32.869565
2019-09-29	weekday	360	1.8	0	8	Cash	18
2019-02-15	weekend	2832	14.5	0	43.5	Cash	18.432203
2019-12-16	weekday	180	0.5	1	6.25	Credit	10
2019-02-07	weekday	420	0.9	0	7.5	Cash	7.7142857
2019-12-06	weekend	360	1.1	2	8	Credit	11
2019-03-21	weekday	1020	9.5	6.5	32.5	Credit	33.529412
2019-09-06	weekend	480	1.2	2	10.5	Credit	9
2019-12-05	weekday	240	0.8	2	8	Credit	12
2019-11-05	weekday	720	2	2	11.75	Credit	10
2019-09-23	weekday	1314	9.97	0	31.75	Cash	27.315068
2019-02-21	weekday	834	1.81	2	11.75	Credit	7.8129496
2019-03-29	weekend	4380	18.3	11.1	67.1	Credit	15.041096
2019-06-23	weekday	300	0.8	2	8.5	Credit	9.6000000
2019-04-12	weekend	120	0.3	0	4	Cash	9
2019-08-25	weekday	3780	7.7	0	35.5	Cash	7.3333333
2019-04-05	weekend	420	1.5	2	9.5	Credit	12.857143
2019-06-21	weekend	339	0.57	0	5.25	Cash	6.0530973
2019-11-03	weekday	808	4.3	0	13.75	Cash	19.158416
2019-07-04	weekday	1620	11.9	0	35.5	Cash	26.444444
2019-03-15	weekend	3600	18	12.81	64.56	Credit	18
2019-05-14	weekday	1320	0.3	0	17.5	Cash	0.81818182
2019-03-05	weekday	576	0.8	0	6.75	Cash	5
2019-07-15	weekday	240	0.4	0	4.75	Cash	6
2019-10-20	weekday	360	1.2	1.5	8.5	Credit	12.000000
2019-03-06	weekday	360	0.5	0	6.5	Cash	5
2019-10-16	weekday	2396	11.1	6.35	38.1	Credit	16.677796
2019-01-16	weekday	206	0.48	0	4.75	Cash	8.3883495
2019-09-23	weekday	4385	18.23	0	56	Cash	14.966477
2019-03-25	weekday	374	1.2	2	9	Credit	11.550802
2019-08-13	weekday	782	2.62	0	10.5	Cash	12.061381
2019-08-24	weekend	660	1	3	11.75	Credit	5.4545455
2019-10-22	weekday	972	7.47	0	21	Cash	27.666667
2019-10-29	weekday	600	1	0	7.25	Cash	6
2019-11-30	weekend	840	2.8	3.15	15.4	Credit	12.000000
2019-06-03	weekday	275	0.31	0	4.75	Cash	4.0581818
2019-03-20	weekday	633	1.38	2	10.25	Credit	7.8483412
2019-01-28	weekday	1725	8.4	0	42.5	Cash	17.530435
2019-09-19	weekday	900	4.1	0	19.25	Cash	16.400000
2019-06-20	weekday	284	0.54	0	5	Cash	6.8450704
2019-04-10	weekday	913	2.96	3	14.75	Credit	11.671413
2019-10-03	weekday	1123	5.08	0	16.75	Cash	16.284951
2019-01-10	weekday	535	0.56	0	6.25	Cash	3.7682243
2019-08-08	weekday	584	1.03	3	10.5	Credit	6.3493151
2019-01-23	weekday	1380	16.9	8	54.25	Credit	44.086957
2019-12-06	weekend	680	1.99	2	13.75	Credit	10.535294
2019-05-30	weekday	735	3.21	0	16	Cash	15.722449
2019-02-21	weekday	468	1.02	0	7	Cash	7.8461538
2019-06-01	weekend	305	0.79	0	5.5	Cash	9.3245902
2019-10-16	weekday	292	0.44	0	5.75	Cash	5.4246575
2019-07-27	weekend	621	3.3	0	11.25	Cash	19.130435
2019-10-24	weekday	898	2.49	3	14	Credit	9.9821826
2019-08-12	weekday	625	1.57	2	10.75	Credit	9.0432000
2019-09-26	weekday	1662	12.58	0	38.75	Cash	27.249097
2019-07-04	weekday	600	2.2	0	9.75	Cash	13.200000
2019-11-09	weekend	540	1.6	0	8.5	Cash	10.666667
2019-02-23	weekend	540	1.7	2	10	Credit	11.333333
2019-04-06	weekend	720	3.46	0	11.75	Cash	17.300000
2019-06-28	weekend	2456	16.35	0	50	Cash	23.965798
2019-04-18	weekday	655	2.46	2	12.5	Credit	13.520611
2019-08-06	weekday	2040	17	5	54.25	Credit	30
2019-09-01	weekday	595	1.12	0	7.5	Cash	6.7764706
2019-03-19	weekday	960	0.3	0	8.5	Cash	1.1250000
2019-02-27	weekday	2520	17.4	10.88	54.38	Credit	24.857143
2019-12-01	weekday	360	1	2	9	Credit	10
2019-11-12	weekday	420	1.3	0	7	Cash	11.142857
2019-06-28	weekend	214	0.4	0	4.75	Cash	6.7289720
2019-08-07	weekday	418	1.08	0	7.75	Cash	9.3014354
2019-10-09	weekday	900	0.2	3	16.25	Credit	0.80000000
2019-11-01	weekend	553	1.23	2	11	Credit	8.0072333
2019-05-24	weekend	1365	13.6	0	59.25	Cash	35.868132
2019-06-07	weekend	457	1.63	0	7.75	Cash	12.840263
2019-05-16	weekday	623	2.58	3	13.25	Credit	14.908507
2019-11-18	weekday	406	1	2	9	Credit	8.8669951
2019-09-28	weekend	1108	5.15	0	18.5	Credit	16.732852
2019-05-24	weekend	3000	17.6	8.95	53.2	Credit	21.120000
2019-06-08	weekend	300	1	1.5	7.5	Credit	12
2019-05-18	weekend	840	2.4	1	12	Credit	10.285714
2019-01-28	weekday	787	5.16	2.48	18.98	Credit	23.603558
2019-10-29	weekday	360	1.1	3	10	Credit	11
2019-09-13	weekend	1293	11.13	7.2	43.2	Credit	30.988399
2019-05-07	weekday	1869	17.46	8.7	52.2	Credit	33.630819
2019-03-02	weekend	711	2.3	2	12	Credit	11.645570
2019-06-20	weekday	480	1.2	3	10.25	Credit	9
2019-06-20	weekday	554	1.36	0	7.5	Cash	8.8375451
2019-06-17	weekday	1080	0.4	0	19	Cash	1.3333333
2019-04-14	weekday	540	1.5	0	7.75	Cash	10
2019-03-04	weekday	352	1.33	4	11	Credit	13.602273
2019-09-06	weekend	323	0.76	2	8	Credit	8.4705882
2019-01-19	weekend	322	0.95	3	9.5	Credit	10.621118
2019-07-07	weekday	879	4.6	0	14.75	Cash	18.839590
2019-04-22	weekday	236	0.58	2	7.5	Credit	8.8474576
2019-07-10	weekday	956	2.94	3.12	15.62	Credit	11.071130
2019-02-27	weekday	1380	13.3	10.1	43.85	Credit	34.695652
2019-05-16	weekday	810	1.6	0	8.75	Cash	7.1111111
2019-11-04	weekday	879	3.36	0	12.75	Cash	13.761092
2019-11-09	weekend	142	0.2	0	3.75	Cash	5.0704225
2019-11-05	weekday	1204	8.09	0	22.5	Cash	24.189369
2019-04-18	weekday	2608	18.17	9.1	54.6	Credit	25.081288
2019-11-13	weekday	776	3	2.55	15.3	Credit	13.917526
2019-10-24	weekday	420	1.5	2	9.75	Credit	12.857143
2019-04-05	weekend	296	0.61	0	5.25	Cash	7.4189189
2019-04-30	weekday	480	1.3	1.75	8.75	Credit	9.7500000
2019-07-19	weekend	886	2.55	2	13.25	Credit	10.361174
2019-10-17	weekday	1267	8.23	0	23.25	Cash	23.384373
2019-12-18	weekday	606	2.06	2	13.25	Credit	12.237624
2019-03-14	weekday	2182	16.7	9.05	54.3	Credit	27.552704
2019-03-03	weekday	511	1.28	0	6.75	Cash	9.0176125
2019-03-17	weekday	1052	3.7	0	13.5	Cash	12.661597
2019-12-09	weekday	480	0.1	0	6	Cash	0.75000000
2019-09-30	weekday	2580	20.3	5	54.25	Credit	28.325581
2019-10-17	weekday	780	0.1	0	10.25	Cash	0.46153846
2019-02-22	weekend	548	1.6	0	8	Cash	10.510949
2019-06-20	weekday	3120	20.3	11.5	69	Credit	23.423077
2019-09-15	weekday	900	0.1	2.55	14.8	Credit	0.40000000
2019-09-27	weekend	600	2.8	0	10.5	Cash	16.800000
2019-07-18	weekday	1980	5.5	5	25.25	Credit	10
2019-08-21	weekday	720	0.1	2.2	12.7	Credit	0.50000000
2019-04-20	weekend	1646	16.23	0	42	Cash	35.496962
2019-10-16	weekday	340	0.88	2	8.25	Credit	9.3176471
2019-10-26	weekend	840	3	0	11.25	Cash	12.857143
2019-07-23	weekday	402	0.8	2	8.5	Credit	7.1641791
2019-10-14	weekday	367	0.4	0	5	Cash	3.9237057
2019-06-14	weekend	2767	18.29	10.45	62.7	Credit	23.796169
2019-08-15	weekday	360	1.2	0	6.25	Cash	12.000000
2019-03-06	weekday	954	3.55	0	14.25	Cash	13.396226
2019-04-27	weekend	1020	3.9	0	15	Cash	13.764706
2019-02-19	weekday	572	1.23	2	10	Credit	7.7412587
2019-05-31	weekend	1980	17.3	7	50	Credit	31.454545
2019-09-05	weekday	445	1.9	0	7.75	Cash	15.370787
2019-05-03	weekend	381	0.69	2	8.25	Credit	6.5196850
2019-01-15	weekday	1080	10.6	0	28	Cash	35.333333
2019-06-29	weekend	526	1.3	1	9.5	Credit	8.8973384
2019-12-23	weekday	1020	4.22	2.21	16.96	Credit	14.894118
2019-04-29	weekday	776	4.3	3.69	18.44	Credit	19.948454
2019-03-31	weekday	649	2.92	0	10.75	Cash	16.197227
2019-09-17	weekday	247	0.62	0	5	Cash	9.0364372
2019-05-12	weekday	3426	6.14	0	27.5	Cash	6.4518389
2019-11-10	weekday	472	0.57	0	6.25	Cash	4.3474576
2019-11-07	weekday	658	1.82	1	11.5	Credit	9.9574468
2019-03-28	weekday	300	0.9	0	5.75	Cash	10.800000
2019-03-12	weekday	480	1.2	0	7.25	Cash	9
2019-06-10	weekday	2267	12.37	0	33.75	Cash	19.643582
2019-08-30	weekend	3233	17.64	10.6	63.6	Credit	19.642437
2019-03-26	weekday	600	1.9	3	11.75	Credit	11.400000
2019-07-26	weekend	1159	0.94	0	9.75	Cash	2.9197584
2019-06-26	weekday	1610	13.34	5.4	41.4	Credit	29.828571
2019-05-29	weekday	1140	2.1	2.4	13.9	Credit	6.6315789
2019-02-02	weekend	300	1	0	7	Cash	12
2019-04-04	weekday	425	1.2	0	6.5	Cash	10.164706
2019-06-06	weekday	538	1.5	0	7.75	Cash	10.037175
2019-07-21	weekday	249	0.46	0	4.5	Cash	6.6506024
2019-12-09	weekday	480	1.2	0	8	Cash	9
2019-12-18	weekday	958	2.2	2	12.75	Credit	8.2672234
2019-12-08	weekday	335	1.03	0	6.25	Cash	11.068657
2019-08-01	weekday	660	1.2	4	13.5	Credit	6.5454545
2019-12-05	weekday	936	5.8	0	21.5	Cash	22.307692
2019-06-17	weekday	180	0.7	0	6	Cash	14.000000
2019-01-23	weekday	614	1.85	2	11	Credit	10.846906
2019-07-30	weekday	506	1.1	0	8.25	Cash	7.8260870
2019-12-17	weekday	977	1.4	0	9.75	Credit	5.1586489
2019-08-11	weekday	517	2.87	0	10.5	Cash	19.984526
2019-12-27	weekend	212	0.84	1.75	8.5	Credit	14.264151
2019-11-28	weekday	540	1.6	3	11.75	Credit	10.666667
2019-12-05	weekday	840	2.9	2	13.25	Credit	12.428571
2019-05-27	weekday	991	5.6	0	17.5	Cash	20.343088
2019-05-02	weekday	540	1.6	2	12	Credit	10.666667
2019-09-06	weekend	432	0.6	2	8.5	Credit	5
2019-09-27	weekend	480	1.1	2	10	Credit	8.2500000
2019-03-07	weekday	880	6.6	0	18.75	Cash	27
2019-07-19	weekend	7440	14	0	62.75	Cash	6.7741935
2019-11-06	weekday	481	1.24	2	10.5	Credit	9.2806653
2019-10-19	weekend	240	0.9	0	5.5	Cash	13.500000
2019-04-09	weekday	471	1.35	2	9.75	Credit	10.318471
2019-07-10	weekday	360	1.8	2	9.5	Credit	18
2019-10-25	weekend	405	0.7	2	8.25	Credit	6.2222222
2019-10-25	weekend	899	5.52	0	16.75	Cash	22.104561
2019-08-12	weekday	406	0.77	0	6	Cash	6.8275862
2019-03-31	weekday	240	1	2	8	Credit	15
2019-10-27	weekday	2757	5.03	0	30	Cash	6.5680087
2019-04-08	weekday	159	0.5	0	4.75	Cash	11.320755
2019-08-23	weekend	600	1.6	0	8	Cash	9.6000000
2019-11-07	weekday	723	2.27	0	9.5	Cash	11.302905
2019-09-24	weekday	360	0.9	0	5.75	Cash	9
2019-09-23	weekday	637	1.94	2	11.5	Credit	10.963893
2019-06-01	weekend	856	7.47	4.2	25.2	Credit	31.415888
2019-02-21	weekday	1800	10	0	32.75	Cash	20
2019-01-29	weekday	300	0.7	2	8.25	Credit	8.4000000
2019-11-02	weekend	1680	18.2	7.5	57.25	Credit	39
2019-10-13	weekday	332	0.73	0	6.5	Cash	7.9156627
2019-01-29	weekday	1717	9.25	5.3	31.8	Credit	19.394292
2019-04-12	weekend	1080	2.7	0	11	Cash	9.0000000
2019-04-30	weekday	360	1.1	0	6.25	Cash	11
2019-04-24	weekday	3496	18.55	0	48.75	Credit	19.101831
2019-06-24	weekday	3240	17.8	8	58	Credit	19.777778
2019-04-29	weekday	240	0.6	2	7.25	Credit	9
2019-06-11	weekday	1440	5.1	0	16.75	Cash	12.750000
2019-02-13	weekday	480	1.4	0	7.25	Cash	10.500000
2019-04-08	weekday	480	1.2	0	7	Cash	9
2019-02-14	weekday	480	1.1	0	7	Cash	8.2500000
2019-05-31	weekend	1255	4.73	3.35	20.1	Credit	13.568127
2019-10-25	weekend	1020	2.8	0	11.5	Cash	9.8823529
2019-03-22	weekend	661	2.5	0	9.75	Cash	13.615734
2019-10-16	weekday	391	0.94	0	6	Cash	8.6547315
2019-10-06	weekday	1171	14.19	3	62	Credit	43.624253
2019-06-20	weekday	660	2.5	0	9.75	Cash	13.636364
2019-03-22	weekend	1138	3.8	2.06	15.81	Credit	12.021090
2019-05-17	weekend	360	0.95	2	8.5	Credit	9.5000000
2019-12-23	weekday	600	1.1	2	9.5	Credit	6.6000000
2019-05-23	weekday	900	2.2	0	10.5	Cash	8.8000000
2019-05-21	weekday	409	3.07	3	13.75	Credit	27.022005
2019-03-17	weekday	576	1.6	0	7.75	Cash	10
2019-09-25	weekday	2594	12.84	6	41.25	Credit	17.819584
2019-02-20	weekday	3350	17.09	10.15	60.9	Credit	18.365373
2019-01-14	weekday	1851	5.23	0	19.25	Cash	10.171799
2019-07-23	weekday	600	2.9	0	10.75	Cash	17.400000
2019-02-22	weekend	660	2.6	2	12.5	Credit	14.181818
2019-05-15	weekday	1113	9.35	5.2	31.2	Credit	30.242588
2019-01-17	weekday	480	2.5	0	9.5	Cash	18.750000
2019-11-20	weekday	540	1.2	2	9.5	Credit	8
2019-01-29	weekday	1200	7.1	0	21.5	Credit	21.300000
2019-03-07	weekday	660	0.1	1.5	11.75	Credit	0.54545455
2019-04-26	weekend	4260	58.7	0	136.25	Cash	49.605634
2019-07-04	weekday	362	0.8	2	9	Credit	7.9558011
2019-06-29	weekend	784	2.31	0	10.25	Cash	10.607143
2019-11-19	weekday	503	3.6	0	13	Cash	25.765408
2019-03-19	weekday	619	1.5	0	7.75	Cash	8.7237480
2019-04-01	weekday	328	0.9	0	6	Cash	9.8780488
2019-08-09	weekend	352	0.76	0	5.75	Cash	7.7727273
2019-06-29	weekend	1350	2.52	0	14	Cash	6.7200000
2019-11-24	weekday	300	1.3	0	6.5	Cash	15.600000
2019-10-29	weekday	619	3.4	0	11.75	Cash	19.773829
2019-05-06	weekday	412	0.99	2	10	Credit	8.6504854
2019-05-20	weekday	334	1.26	2	9	Credit	13.580838
2019-11-05	weekday	553	1.56	0	7.75	Cash	10.155515
2019-10-03	weekday	445	0.9	2	10	Credit	7.2808989
2019-11-06	weekday	807	2.4	2	13.25	Credit	10.706320
2019-03-04	weekday	489	1	1.5	8.75	Credit	7.3619632
2019-05-03	weekend	4680	19.4	0	62.25	Credit	14.923077
2019-07-19	weekend	471	0.9	2	9	Credit	6.8789809
2019-05-16	weekday	360	0.5	0	5.75	Credit	5
2019-07-12	weekend	908	2.7	0	11.25	Cash	10.704846
2019-11-14	weekday	287	0.64	3	8.75	Credit	8.0278746
2019-04-11	weekday	720	2.1	4	15.75	Credit	10.500000
2019-07-11	weekday	2334	17.03	0	49	Credit	26.267352
2019-02-26	weekday	326	0.88	2	8.25	Credit	9.7177914
2019-03-12	weekday	2609	18.02	0	49	Cash	24.864699
2019-09-03	weekday	312	1.2	2	8.75	Credit	13.846154
2019-07-19	weekend	300	0.9	0	5.75	Cash	10.800000
2019-09-21	weekend	350	0.8	0	6.75	Cash	8.2285714
2019-04-25	weekday	768	1.67	2	11.25	Credit	7.8281250
2019-04-30	weekday	336	0.75	0	5.5	Cash	8.0357143
2019-05-30	weekday	1800	10.6	0	30.5	Cash	21.200000
2019-12-03	weekday	101	0.24	0	3.75	Cash	8.5544554
2019-01-17	weekday	397	0.67	0	5.75	Cash	6.0755668
2019-04-04	weekday	720	1.7	2	11.25	Credit	8.5000000
2019-03-29	weekend	540	1.1	2	10.25	Credit	7.3333333
